replicate_number,Mean temperature (°C),Fluctuation scenario,group,Length (mm),Shell dry weight (g),Tissue dry weight (g),initial length (mm),initial shell dry weight (g),initial tissue dry weight (g),Length growth (mm/day),Shell dry weight growth (mg/day),Tissue dry weight growth (mg/day)
1,18.5,±0 °C,1,8.75,0.0165,0.0025,2.5,0.00138,0.000166667,0.189393939,0.458181818,0.070707071
2,18.5,±0 °C,1,7.59,0.0119,0.0022,2.5,0.00138,0.000166667,0.154242424,0.318787879,0.061616162
3,18.5,±0 °C,1,8.68,0.0159,0.0024,2.5,0.00138,0.000166667,0.187272727,0.44,0.067676768
4,18.5,±0 °C,1,7.63,0.0111,0.0022,2.5,0.00138,0.000166667,0.155454545,0.294545455,0.061616162
5,18.5,±0 °C,1,7.82,0.0135,0.0024,2.5,0.00138,0.000166667,0.161212121,0.367272727,0.067676768
6,18.5,±0 °C,1,7.86,0.0133,0.0027,2.5,0.00138,0.000166667,0.162424242,0.361212121,0.076767677
7,18.5,±0 °C,1,7.68,0.0101,0.0021,2.5,0.00138,0.000166667,0.156969697,0.264242424,0.058585859
8,18.5,±0 °C,1,7.08,0.0104,0.0022,2.5,0.00138,0.000166667,0.138787879,0.273333333,0.061616162
9,18.5,±0 °C,1,5.96,0.0063,0.0012,2.5,0.00138,0.000166667,0.104848485,0.149090909,0.031313131
10,18.5,±0 °C,1,5.55,0.0045,0.0012,2.5,0.00138,0.000166667,0.092424242,0.094545455,0.031313131
121,18.5,±0 °C,2,9.15,0.0177,0.0029,2.5,0.00138,0.000166667,0.201515152,0.494545455,0.082828283
122,18.5,±0 °C,2,7.6,0.011,0.0016,2.5,0.00138,0.000166667,0.154545455,0.291515152,0.043434343
123,18.5,±0 °C,2,6.41,0.0093,0.0012,2.5,0.00138,0.000166667,0.118484848,0.24,0.031313131
124,18.5,±0 °C,2,7.59,0.0117,0.0022,2.5,0.00138,0.000166667,0.154242424,0.312727273,0.061616162
125,18.5,±0 °C,2,5.92,0.0059,0.0012,2.5,0.00138,0.000166667,0.103636364,0.136969697,0.031313131
126,18.5,±0 °C,2,5.6,0.0055,0.0014,2.5,0.00138,0.000166667,0.093939394,0.124848485,0.037373737
127,18.5,±0 °C,2,7.14,0.0091,0.0017,2.5,0.00138,0.000166667,0.140606061,0.233939394,0.046464646
128,18.5,±0 °C,2,7.41,0.0099,0.0024,2.5,0.00138,0.000166667,0.148787879,0.258181818,0.067676768
129,18.5,±0 °C,2,8.2,0.0145,0.0023,2.5,0.00138,0.000166667,0.172727273,0.397575758,0.064646465
1,18.5,±0 °C,3,8.67,0.0172,0.0033,2.5,0.00138,0.000166667,0.186969697,0.479393939,0.094949495
2,18.5,±0 °C,3,8.32,0.0142,0.003,2.5,0.00138,0.000166667,0.176363636,0.388484848,0.085858586
3,18.5,±0 °C,3,7.5,0.0114,0.0022,2.5,0.00138,0.000166667,0.151515152,0.303636364,0.061616162
4,18.5,±0 °C,3,7.47,0.0134,0.0019,2.5,0.00138,0.000166667,0.150606061,0.364242424,0.052525253
5,18.5,±0 °C,3,6.96,0.0089,0.0014,2.5,0.00138,0.000166667,0.135151515,0.227878788,0.037373737
6,18.5,±0 °C,3,7.23,0.011,0.0015,2.5,0.00138,0.000166667,0.143333333,0.291515152,0.04040404
7,18.5,±0 °C,3,6.14,0.006,0.0008,2.5,0.00138,0.000166667,0.11030303,0.14,0.019191919
8,18.5,±0 °C,3,5.22,0.0055,0.0006,2.5,0.00138,0.000166667,0.082424242,0.124848485,0.013131313
9,18.5,±0 °C,3,4.54,0.004,0.0002,2.5,0.00138,0.000166667,0.061818182,0.079393939,0.001010101
31,21,±0 °C,4,8.73,0.0177,0.003,2.5,0.00138,0.000166667,0.188787879,0.494545455,0.085858586
32,21,±0 °C,4,8.58,0.0154,0.0031,2.5,0.00138,0.000166667,0.184242424,0.424848485,0.088888889
33,21,±0 °C,4,7.43,0.0135,0.0015,2.5,0.00138,0.000166667,0.149393939,0.367272727,0.04040404
34,21,±0 °C,4,7.79,0.0149,0.0017,2.5,0.00138,0.000166667,0.16030303,0.40969697,0.046464646
35,21,±0 °C,4,6.26,0.0076,0.0011,2.5,0.00138,0.000166667,0.113939394,0.188484848,0.028282828
36,21,±0 °C,4,8.14,0.0153,0.0019,2.5,0.00138,0.000166667,0.170909091,0.421818182,0.052525253
37,21,±0 °C,4,7.21,0.0097,0.0016,2.5,0.00138,0.000166667,0.142727273,0.252121212,0.043434343
38,21,±0 °C,4,6.5,0.0074,0.0008,2.5,0.00138,0.000166667,0.121212121,0.182424242,0.019191919
39,21,±0 °C,4,6.81,0.0093,0.0015,2.5,0.00138,0.000166667,0.130606061,0.24,0.04040404
40,21,±0 °C,4,6.15,0.0082,0.0011,2.5,0.00138,0.000166667,0.110606061,0.206666667,0.028282828
151,21,±0 °C,5,9.04,0.0175,0.0033,2.5,0.00138,0.000166667,0.198181818,0.488484848,0.094949495
152,21,±0 °C,5,8.67,0.017,0.0027,2.5,0.00138,0.000166667,0.186969697,0.473333333,0.076767677
153,21,±0 °C,5,7.32,0.0103,0.0021,2.5,0.00138,0.000166667,0.146060606,0.27030303,0.058585859
154,21,±0 °C,5,9.57,0.0186,0.0031,2.5,0.00138,0.000166667,0.214242424,0.521818182,0.088888889
155,21,±0 °C,5,6.8,0.0103,0.0017,2.5,0.00138,0.000166667,0.13030303,0.27030303,0.046464646
156,21,±0 °C,5,6.69,0.0127,0.0012,2.5,0.00138,0.000166667,0.126969697,0.343030303,0.031313131
157,21,±0 °C,5,7.87,0.0144,0.0024,2.5,0.00138,0.000166667,0.162727273,0.394545455,0.067676768
158,21,±0 °C,5,6,0.007,0.0012,2.5,0.00138,0.000166667,0.106060606,0.17030303,0.031313131
159,21,±0 °C,5,5.41,0.0052,0.0009,2.5,0.00138,0.000166667,0.088181818,0.115757576,0.022222222
160,21,±0 °C,5,6.69,0.0095,0.0017,2.5,0.00138,0.000166667,0.126969697,0.246060606,0.046464646
31,21,±0 °C,6,9.04,0.0204,0.0029,2.5,0.00138,0.000166667,0.198181818,0.576363636,0.082828283
32,21,±0 °C,6,7.75,0.0141,0.0021,2.5,0.00138,0.000166667,0.159090909,0.385454545,0.058585859
33,21,±0 °C,6,7.94,0.0163,0.0026,2.5,0.00138,0.000166667,0.164848485,0.452121212,0.073737374
34,21,±0 °C,6,8.25,0.0172,0.0029,2.5,0.00138,0.000166667,0.174242424,0.479393939,0.082828283
35,21,±0 °C,6,8.02,0.0135,0.0023,2.5,0.00138,0.000166667,0.167272727,0.367272727,0.064646465
36,21,±0 °C,6,7.73,0.0138,0.0022,2.5,0.00138,0.000166667,0.158484848,0.376363636,0.061616162
37,21,±0 °C,6,7.26,0.0114,0.0021,2.5,0.00138,0.000166667,0.144242424,0.303636364,0.058585859
38,21,±0 °C,6,4.49,0.0045,0.0007,2.5,0.00138,0.000166667,0.06030303,0.094545455,0.016161616
39,21,±0 °C,6,6.15,0.0097,0.0015,2.5,0.00138,0.000166667,0.110606061,0.252121212,0.04040404
40,21,±0 °C,6,6.65,0.0085,0.0017,2.5,0.00138,0.000166667,0.125757576,0.215757576,0.046464646
61,23.5,±0 °C,7,7.74,0.0147,0.0016,2.5,0.00138,0.000166667,0.158787879,0.403636364,0.043434343
62,23.5,±0 °C,7,6.35,0.0111,0.0008,2.5,0.00138,0.000166667,0.116666667,0.294545455,0.019191919
63,23.5,±0 °C,7,5.82,0.0067,0.0008,2.5,0.00138,0.000166667,0.100606061,0.161212121,0.019191919
64,23.5,±0 °C,7,7.7,0.014,0.0019,2.5,0.00138,0.000166667,0.157575758,0.382424242,0.052525253
65,23.5,±0 °C,7,7.01,0.0095,0.0013,2.5,0.00138,0.000166667,0.136666667,0.246060606,0.034343434
66,23.5,±0 °C,7,7.44,0.0133,0.0016,2.5,0.00138,0.000166667,0.14969697,0.361212121,0.043434343
67,23.5,±0 °C,7,7.39,0.0131,0.0018,2.5,0.00138,0.000166667,0.148181818,0.355151515,0.049494949
68,23.5,±0 °C,7,7.05,0.0105,0.0011,2.5,0.00138,0.000166667,0.137878788,0.276363636,0.028282828
69,23.5,±0 °C,7,5.89,0.0063,0.0012,2.5,0.00138,0.000166667,0.102727273,0.149090909,0.031313131
70,23.5,±0 °C,7,5.75,0.0066,0.0004,2.5,0.00138,0.000166667,0.098484848,0.158181818,0.007070707
181,23.5,±0 °C,8,8.13,0.0128,0.0017,2.5,0.00138,0.000166667,0.170606061,0.346060606,0.046464646
182,23.5,±0 °C,8,7.46,0.0156,0.002,2.5,0.00138,0.000166667,0.15030303,0.430909091,0.055555556
183,23.5,±0 °C,8,3.93,0.0042,0.0004,2.5,0.00138,0.000166667,0.043333333,0.085454545,0.007070707
184,23.5,±0 °C,8,6.6,0.0096,0.0015,2.5,0.00138,0.000166667,0.124242424,0.249090909,0.04040404
185,23.5,±0 °C,8,7.41,0.0167,0.0015,2.5,0.00138,0.000166667,0.148787879,0.464242424,0.04040404
186,23.5,±0 °C,8,7.73,0.0135,0.0018,2.5,0.00138,0.000166667,0.158484848,0.367272727,0.049494949
187,23.5,±0 °C,8,6.93,0.0086,0.0012,2.5,0.00138,0.000166667,0.134242424,0.218787879,0.031313131
188,23.5,±0 °C,8,7.33,0.0111,0.0012,2.5,0.00138,0.000166667,0.146363636,0.294545455,0.031313131
189,23.5,±0 °C,8,5.48,0.0056,0.0008,2.5,0.00138,0.000166667,0.09030303,0.127878788,0.019191919
190,23.5,±0 °C,8,5.85,0.0077,0.0005,2.5,0.00138,0.000166667,0.101515152,0.191515152,0.01010101
61,23.5,±0 °C,9,6.12,0.008,0.0009,2.5,0.00138,0.000166667,0.10969697,0.200606061,0.022222222
62,23.5,±0 °C,9,8.02,0.0136,0.0016,2.5,0.00138,0.000166667,0.167272727,0.37030303,0.043434343
63,23.5,±0 °C,9,7.25,0.0132,0.0016,2.5,0.00138,0.000166667,0.143939394,0.358181818,0.043434343
64,23.5,±0 °C,9,8.34,0.0166,0.0023,2.5,0.00138,0.000166667,0.176969697,0.461212121,0.064646465
65,23.5,±0 °C,9,7,0.0139,0.0016,2.5,0.00138,0.000166667,0.136363636,0.379393939,0.043434343
66,23.5,±0 °C,9,6.65,0.0092,0.0013,2.5,0.00138,0.000166667,0.125757576,0.236969697,0.034343434
67,23.5,±0 °C,9,6.94,0.0107,0.0015,2.5,0.00138,0.000166667,0.134545455,0.282424242,0.04040404
68,23.5,±0 °C,9,6.05,0.008,0.0008,2.5,0.00138,0.000166667,0.107575758,0.200606061,0.019191919
69,23.5,±0 °C,9,7.1,0.0113,0.0017,2.5,0.00138,0.000166667,0.139393939,0.300606061,0.046464646
70,23.5,±0 °C,9,5.39,0.005,0.0009,2.5,0.00138,0.000166667,0.087575758,0.10969697,0.022222222
91,26,±0 °C,10,5.71,0.0067,0.0007,2.5,0.00138,0.000166667,0.097272727,0.161212121,0.016161616
92,26,±0 °C,10,6.25,0.007,0.0012,2.5,0.00138,0.000166667,0.113636364,0.17030303,0.031313131
93,26,±0 °C,10,4.91,0.005,0.0006,2.5,0.00138,0.000166667,0.073030303,0.10969697,0.013131313
94,26,±0 °C,10,5.16,0.0048,0.0014,2.5,0.00138,0.000166667,0.080606061,0.103636364,0.037373737
96,26,±0 °C,10,4.18,0.0026,0.0009,2.5,0.00138,0.000166667,0.050909091,0.036969697,0.022222222
97,26,±0 °C,10,3.93,0.0039,0.0002,2.5,0.00138,0.000166667,0.043333333,0.076363636,0.001010101
98,26,±0 °C,10,3.64,0.0021,0.0002,2.5,0.00138,0.000166667,0.034545455,0.021818182,0.001010101
99,26,±0 °C,10,3.38,0.0022,0.0002,2.5,0.00138,0.000166667,0.026666667,0.024848485,0.001010101
211,26,±0 °C,11,4.34,0.0037,0.0003,2.5,0.00138,0.000166667,0.055757576,0.07030303,0.004040404
212,26,±0 °C,11,5.08,0.0045,0.0006,2.5,0.00138,0.000166667,0.078181818,0.094545455,0.013131313
213,26,±0 °C,11,4.7,0.0046,0,2.5,0.00138,0.000166667,0.066666667,0.097575758,-0.005050505
214,26,±0 °C,11,6.22,0.0082,0.0006,2.5,0.00138,0.000166667,0.112727273,0.206666667,0.013131313
215,26,±0 °C,11,3.97,0.0034,0.0003,2.5,0.00138,0.000166667,0.044545455,0.061212121,0.004040404
216,26,±0 °C,11,4.78,0.0046,0.0002,2.5,0.00138,0.000166667,0.069090909,0.097575758,0.001010101
217,26,±0 °C,11,4.33,0.0035,0.0002,2.5,0.00138,0.000166667,0.055454545,0.064242424,0.001010101
218,26,±0 °C,11,3.46,0.0022,0.0002,2.5,0.00138,0.000166667,0.029090909,0.024848485,0.001010101
219,26,±0 °C,11,3.19,0.0017,0.0005,2.5,0.00138,0.000166667,0.020909091,0.00969697,0.01010101
91,26,±0 °C,12,4.84,0.0045,0.0002,2.5,0.00138,0.000166667,0.070909091,0.094545455,0.001010101
92,26,±0 °C,12,4.19,0.003,0.0003,2.5,0.00138,0.000166667,0.051212121,0.049090909,0.004040404
93,26,±0 °C,12,3.37,0.0019,0,2.5,0.00138,0.000166667,0.026363636,0.015757576,-0.005050505
94,26,±0 °C,12,4.73,0.004,0.0003,2.5,0.00138,0.000166667,0.067575758,0.079393939,0.004040404
